/Users/demo/Library/CloudStorage/Box-Box/Holmes_lab_kaley/git_repos/hyperopt_repo/hyperopt/__init__.py
--- Dataset: v2_day ---
0:	learn: 2.1908860	total: 1.77ms	remaining: 479ms
137:	learn: 1.5658432	total: 1.57s	remaining: 1.52s
138:	learn: 1.5629501	total: 1.59s	remaining: 1.52s
139:	learn: 1.5596782	total: 1.59s	remaining: 1.5s
140:	learn: 1.5568007	total: 1.59s	remaining: 1.48s
141:	learn: 1.5544119	total: 1.59s	remaining: 1.46s
142:	learn: 1.5511651	total: 1.59s	remaining: 1.44s
143:	learn: 1.5485554	total: 1.6s	remaining: 1.42s
144:	learn: 1.5458786	total: 1.6s	remaining: 1.4s
145:	learn: 1.5427728	total: 1.6s	remaining: 1.38s
146:	learn: 1.5390798	total: 1.6s	remaining: 1.36s
147:	learn: 1.5360486	total: 1.6s	remaining: 1.34s
148:	learn: 1.5339958	total: 1.68s	remaining: 1.38s
149:	learn: 1.5307210	total: 1.74s	remaining: 1.41s
150:	learn: 1.5274834	total: 1.76s	remaining: 1.41s
151:	learn: 1.5237727	total: 1.76s	remaining: 1.39s
152:	learn: 1.5211774	total: 1.77s	remaining: 1.37s
153:	learn: 1.5191344	total: 1.77s	remaining: 1.36s
154:	learn: 1.5159001	total: 1.77s	remaining: 1.34s
155:	learn: 1.5125804	total: 1.77s	remaining: 1.32s
156:	learn: 1.5087552	total: 1.77s	remaining: 1.3s
157:	learn: 1.5053643	total: 1.77s	remaining: 1.28s
158:	learn: 1.5027059	total: 1.82s	remaining: 1.29s
159:	learn: 1.5007534	total: 1.82s	remaining: 1.28s
160:	learn: 1.4974948	total: 1.82s	remaining: 1.26s
161:	learn: 1.4957864	total: 1.82s	remaining: 1.24s
162:	learn: 1.4937862	total: 1.85s	remaining: 1.24s
163:	learn: 1.4897971	total: 1.85s	remaining: 1.22s
164:	learn: 1.4865183	total: 1.85s	remaining: 1.2s
165:	learn: 1.4841286	total: 1.9s	remaining: 1.21s
166:	learn: 1.4816602	total: 1.9s	remaining: 1.19s
167:	learn: 1.4789311	total: 1.9s	remaining: 1.18s
168:	learn: 1.4764564	total: 1.94s	remaining: 1.18s
169:	learn: 1.4731776	total: 1.94s	remaining: 1.16s
170:	learn: 1.4703739	total: 1.94s	remaining: 1.15s
171:	learn: 1.4679763	total: 1.94s	remaining: 1.13s
172:	learn: 1.4659009	total: 1.94s	remaining: 1.11s
173:	learn: 1.4623889	total: 1.94s	remaining: 1.09s
174:	learn: 1.4603598	total: 2.03s	remaining: 1.13s
175:	learn: 1.4573747	total: 2.05s	remaining: 1.12s
176:	learn: 1.4543316	total: 2.05s	remaining: 1.1s
177:	learn: 1.4515380	total: 2.06s	remaining: 1.08s
178:	learn: 1.4481730	total: 2.06s	remaining: 1.07s
179:	learn: 1.4465515	total: 2.06s	remaining: 1.05s
180:	learn: 1.4441708	total: 2.06s	remaining: 1.03s
181:	learn: 1.4414668	total: 2.08s	remaining: 1.03s
182:	learn: 1.4382412	total: 2.08s	remaining: 1.01s
183:	learn: 1.4361603	total: 2.09s	remaining: 999ms
184:	learn: 1.4331399	total: 2.09s	remaining: 983ms
185:	learn: 1.4305548	total: 2.09s	remaining: 967ms
186:	learn: 1.4278900	total: 2.09s	remaining: 952ms
187:	learn: 1.4259543	total: 2.09s	remaining: 936ms
