/Users/demo/Library/CloudStorage/Box-Box/Holmes_lab_kaley/git_repos/hyperopt_repo/hyperopt/__init__.py
--- Dataset: v1_week ---
152:	learn: 1.1404325	total: 2.44s	remaining: 2.18s
153:	learn: 1.1360343	total: 2.45s	remaining: 2.17s
154:	learn: 1.1341623	total: 2.46s	remaining: 2.14s
155:	learn: 1.1331156	total: 2.46s	remaining: 2.12s
156:	learn: 1.1267238	total: 2.47s	remaining: 2.09s
157:	learn: 1.1233134	total: 2.47s	remaining: 2.07s
158:	learn: 1.1198801	total: 2.49s	remaining: 2.05s
159:	learn: 1.1186382	total: 2.51s	remaining: 2.04s
160:	learn: 1.1169596	total: 2.52s	remaining: 2.02s
161:	learn: 1.1133206	total: 2.52s	remaining: 2s
162:	learn: 1.1110085	total: 2.54s	remaining: 1.98s
163:	learn: 1.1072420	total: 2.56s	remaining: 1.97s
164:	learn: 1.1041486	total: 2.57s	remaining: 1.95s
165:	learn: 1.0995639	total: 2.59s	remaining: 1.93s
166:	learn: 1.0974264	total: 2.59s	remaining: 1.91s
167:	learn: 1.0946599	total: 2.6s	remaining: 1.89s
168:	learn: 1.0900466	total: 2.62s	remaining: 1.87s
169:	learn: 1.0879281	total: 2.63s	remaining: 1.85s
170:	learn: 1.0858589	total: 2.65s	remaining: 1.84s
171:	learn: 1.0815120	total: 2.66s	remaining: 1.82s
172:	learn: 1.0773055	total: 2.66s	remaining: 1.8s
173:	learn: 1.0743968	total: 2.67s	remaining: 1.78s
174:	learn: 1.0702512	total: 2.69s	remaining: 1.76s
175:	learn: 1.0677992	total: 2.7s	remaining: 1.75s
176:	learn: 1.0665166	total: 2.73s	remaining: 1.74s
177:	learn: 1.0639425	total: 2.74s	remaining: 1.72s
178:	learn: 1.0620597	total: 2.75s	remaining: 1.7s
179:	learn: 1.0596518	total: 2.75s	remaining: 1.68s
180:	learn: 1.0569727	total: 2.76s	remaining: 1.66s
181:	learn: 1.0561662	total: 2.76s	remaining: 1.64s
182:	learn: 1.0522381	total: 2.79s	remaining: 1.63s
183:	learn: 1.0487207	total: 2.82s	remaining: 1.63s
184:	learn: 1.0474431	total: 2.83s	remaining: 1.61s
185:	learn: 1.0437311	total: 2.86s	remaining: 1.6s
186:	learn: 1.0404575	total: 2.9s	remaining: 1.59s
187:	learn: 1.0387625	total: 2.9s	remaining: 1.57s
188:	learn: 1.0352847	total: 2.9s	remaining: 1.55s
189:	learn: 1.0322298	total: 2.91s	remaining: 1.53s
190:	learn: 1.0307358	total: 2.91s	remaining: 1.51s
191:	learn: 1.0279298	total: 2.92s	remaining: 1.49s
192:	learn: 1.0248745	total: 2.93s	remaining: 1.47s
193:	learn: 1.0228977	total: 2.95s	remaining: 1.46s
194:	learn: 1.0211968	total: 2.97s	remaining: 1.45s
195:	learn: 1.0181975	total: 2.98s	remaining: 1.43s
196:	learn: 1.0155030	total: 2.98s	remaining: 1.41s
197:	learn: 1.0121727	total: 2.99s	remaining: 1.39s
198:	learn: 1.0099850	total: 2.99s	remaining: 1.37s
199:	learn: 1.0070305	total: 3s	remaining: 1.35s
200:	learn: 1.0044228	total: 3.01s	remaining: 1.33s
201:	learn: 1.0008652	total: 3.01s	remaining: 1.31s
202:	learn: 0.9990769	total: 3.02s	remaining: 1.29s
203:	learn: 0.9965630	total: 3.03s	remaining: 1.28s
204:	learn: 0.9954931	total: 3.06s	remaining: 1.27s
205:	learn: 0.9937753	total: 3.09s	remaining: 1.26s
206:	learn: 0.9923321	total: 3.11s	remaining: 1.25s
207:	learn: 0.9886870	total: 3.14s	remaining: 1.24s
208:	learn: 0.9878446	total: 3.17s	remaining: 1.23s
209:	learn: 0.9841145	total: 3.19s	remaining: 1.22s
210:	learn: 0.9812537	total: 3.22s	remaining: 1.21s
211:	learn: 0.9775905	total: 3.24s	remaining: 1.19s
212:	learn: 0.9750011	total: 3.25s	remaining: 1.18s
213:	learn: 0.9729207	total: 3.28s	remaining: 1.17s
214:	learn: 0.9700576	total: 3.3s	remaining: 1.15s
215:	learn: 0.9674599	total: 3.31s	remaining: 1.14s
216:	learn: 0.9651247	total: 3.33s	remaining: 1.12s
217:	learn: 0.9624010	total: 3.33s	remaining: 1.1s
218:	learn: 0.9594859	total: 3.35s	remaining: 1.08s
219:	learn: 0.9557839	total: 3.35s	remaining: 1.07s
220:	learn: 0.9517193	total: 3.36s	remaining: 1.05s
221:	learn: 0.9499723	total: 3.4s	remaining: 1.04s
222:	learn: 0.9470196	total: 3.42s	remaining: 1.03s
223:	learn: 0.9442289	total: 3.43s	remaining: 1.01s
224:	learn: 0.9429377	total: 3.45s	remaining: 997ms
225:	learn: 0.9395385	total: 3.47s	remaining: 982ms
226:	learn: 0.9377889	total: 3.49s	remaining: 968ms
227:	learn: 0.9352045	total: 3.5s	remaining: 953ms
228:	learn: 0.9342600	total: 3.52s	remaining: 938ms
229:	learn: 0.9333001	total: 3.52s	remaining: 919ms
230:	learn: 0.9300758	total: 3.54s	remaining: 905ms
231:	learn: 0.9282636	total: 3.56s	remaining: 891ms
232:	learn: 0.9242686	total: 3.58s	remaining: 877ms
233:	learn: 0.9217708	total: 3.6s	remaining: 861ms
234:	learn: 0.9213202	total: 3.61s	remaining: 845ms
235:	learn: 0.9187573	total: 3.63s	remaining: 830ms
236:	learn: 0.9154154	total: 3.64s	remaining: 814ms
237:	learn: 0.9142278	total: 3.65s	remaining: 798ms
238:	learn: 0.9136587	total: 3.66s	remaining: 781ms
239:	learn: 0.9113163	total: 3.68s	remaining: 768ms
240:	learn: 0.9098787	total: 3.69s	remaining: 751ms
241:	learn: 0.9070091	total: 3.7s	remaining: 734ms
242:	learn: 0.9066690	total: 3.73s	remaining: 721ms
243:	learn: 0.9044066	total: 3.75s	remaining: 708ms
244:	learn: 0.9037990	total: 3.76s	remaining: 691ms
245:	learn: 0.9014194	total: 3.78s	remaining: 676ms
246:	learn: 0.8996157	total: 3.8s	remaining: 662ms
247:	learn: 0.8971780	total: 3.83s	remaining: 648ms
248:	learn: 0.8941740	total: 3.84s	remaining: 633ms
249:	learn: 0.8913560	total: 3.86s	remaining: 617ms
250:	learn: 0.8886627	total: 3.87s	remaining: 602ms
251:	learn: 0.8880662	total: 3.89s	remaining: 586ms
252:	learn: 0.8864250	total: 3.92s	remaining: 574ms
253:	learn: 0.8837419	total: 3.95s	remaining: 560ms
254:	learn: 0.8805025	total: 3.97s	remaining: 544ms
255:	learn: 0.8784921	total: 3.98s	remaining: 528ms
256:	learn: 0.8752587	total: 3.99s	remaining: 513ms
257:	learn: 0.8729920	total: 4s	remaining: 497ms
258:	learn: 0.8699158	total: 4.03s	remaining: 482ms
259:	learn: 0.8678833	total: 4.06s	remaining: 468ms
260:	learn: 0.8671177	total: 4.07s	remaining: 452ms
261:	learn: 0.8652837	total: 4.09s	remaining: 437ms
262:	learn: 0.8625400	total: 4.11s	remaining: 422ms
263:	learn: 0.8595915	total: 4.13s	remaining: 406ms
264:	learn: 0.8581060	total: 4.13s	remaining: 390ms
265:	learn: 0.8562605	total: 4.14s	remaining: 373ms
266:	learn: 0.8534720	total: 4.14s	remaining: 357ms
267:	learn: 0.8515724	total: 4.17s	remaining: 343ms
268:	learn: 0.8495638	total: 4.18s	remaining: 326ms
269:	learn: 0.8475142	total: 4.19s	remaining: 311ms
270:	learn: 0.8450507	total: 4.2s	remaining: 294ms
271:	learn: 0.8412165	total: 4.2s	remaining: 278ms
272:	learn: 0.8393083	total: 4.21s	remaining: 262ms
273:	learn: 0.8360288	total: 4.21s	remaining: 246ms
274:	learn: 0.8349045	total: 4.22s	remaining: 230ms
275:	learn: 0.8314019	total: 4.23s	remaining: 215ms
276:	learn: 0.8295303	total: 4.25s	remaining: 199ms
277:	learn: 0.8279308	total: 4.25s	remaining: 184ms
278:	learn: 0.8254727	total: 4.28s	remaining: 169ms
279:	learn: 0.8246388	total: 4.3s	remaining: 153ms
280:	learn: 0.8229845	total: 4.31s	remaining: 138ms
281:	learn: 0.8223005	total: 4.33s	remaining: 123ms
282:	learn: 0.8210073	total: 4.34s	remaining: 107ms
283:	learn: 0.8181249	total: 4.36s	remaining: 92ms
284:	learn: 0.8165752	total: 4.4s	remaining: 77.1ms
285:	learn: 0.8127005	total: 4.42s	remaining: 61.8ms
286:	learn: 0.8105193	total: 4.43s	remaining: 46.4ms
287:	learn: 0.8100031	total: 4.45s	remaining: 30.9ms
288:	learn: 0.8068117	total: 4.48s	remaining: 15.5ms
289:	learn: 0.8056554	total: 4.5s	remaining: 0us
v1_week accuracy: 0.3376
